company_withAccessInfo,link,country,sector,industry,publication date,pages PDF,auditor
Bank Millenium*,https://www.bankmillennium.pl/en/about-the-bank/investor-relations/financial-reports/annual-reports,Poland,Financials,Commercial Banks,2025-02-24,170,Deloitte
Bank of Ireland,https://investorrelations.bankofireland.com/app/uploads/Annual-Report-HoldCo-2024-Web.pdf,Ireland,Financials,Commercial Banks,2025-02-24,141,KPMG
Bank Polska Kasa Opieki*,https://www.pekao.com.pl/dam/jcr:4508067b-d2e6-4771-a4e0-0ef4ebfffdad/Report_on_the_Activities_Bank_Pekao_Group_RR2024.pdf,Poland,Financials,Commercial Banks,2025-02-27,174,PwC
Barclays Bank*,https://home.barclays/content/dam/home-barclays/documents/investor-relations/reports-and-events/annual-reports/2024/Barclays-Bank-PLC-Annual-Report-2024-Final.pdf,United Kingdom,Financials,Commercial Banks,2025-02-12,83,KPMG
Barco,https://assets.barco.com/m/4e3f86020693827c/original/Barco-IR2024-FULL.pdf?_gl=1*1ogpn62*_gcl_au*MTEzMTUxNzkzNi4xNzM5MjYzNTQ1*_ga*MTE2MDMyMzgwOC4xNzM5MjYzNTQ1*_ga_KMDGVRWYBD*MTczOTI2MzU0NC4xLjEuMTczOTI2MzU1MS41NC4wLjEwMTcxNzQyNDI.,Belgium,Technology & Communications,Hardware,2025-02-11,58,PwC
BASF,https://report.basf.com/2024/en/_assets/downloads/entire-full-report-basf-ar24.pdf?h=bgn5lq-I,Germany,Resource Transformation,Chemicals,2025-03-21,181,Deloitte
Bavarian Nordic,https://www.bavarian-nordic.com/media/363807/bn_annual_report_2024.pdf,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-03-05,72,KPMG
Bayer,https://www.bayer.com/sites/default/files/2025-03/bayer-annual-report-2024.pdf,Germany,Health Care,Biotechnology & Pharmaceuticals,2025-03-05,144,Deloitte
BBVA,https://shareholdersandinvestors.bbva.com/wp-content/uploads/2025/02/5_2_ENG_2024_Consolidated_Annual_Accounts_and_Management_Report.pdf,Spain,Financials,Commercial Banks,2025-02-14,340,EY
Benefit Systems*,https://corp.benefitsystems.pl/fileadmin/benefitsystems/relacje_inwestorskie/Raporty_okresowe/2024/12M/Skonsolidowany/ENG/Directors__Report_on_the_Operations_of_the_Benefit_Systems_Group_for_2024.pdf,Poland,Services,Professional & Commercial Services,2025-04-08,89,KPMG
BMW*,https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2025/bericht/BMW-Group-Report-2024-en.pdf,Germany,Transportation,Automobiles,2025-03-14,155,PwC
BNP Paribas,https://invest.bnpparibas/en/document/universal-registration-document-annual-financial-report-2024-pdf,France,Financials,Commercial Banks,2025-03-20,196,Deloitte & EY
Borealis*,https://www.borealisgroup.com/storage/Company/About-Borealis/Annual-Report/Borealis-Group-Annual-Report-2024-EN.pdf,Austria,Resource Transformation,Chemicals,2025-04-07,179,KPMG
Brenntag*,https://brenntagprod-media.e-spirit.cloud/06432017-be1f-41ce-8d1d-564e2a66d213/preview/documents/corporate/investor-relations/2024/annual-report-2024/brenntag_annual-report-2024_en.pdf#page=103,Germany,Resource Transformation,Chemicals,2025-03-12,61,Deloitte
BW Offshore*,https://ml-eu.globenewswire.com/Resource/Download/7096fd21-1cf0-44b9-945c-ed6058c869a5,Bermuda,Transportation,Marine Transportation,2025-02-27,108,KPMG
Caixabank,https://www.caixabank.com/deployedfiles/caixabank_com/Estaticos/PDFs/Accionistasinversores/Informacion_economico_financiera/Informe_de_Gestion_Consolidado_2024_ENG.pdf,Spain,Financials,Commercial Banks,2025-02-20,388,PwC
Capgemini*,https://investors.capgemini.com/en/file/28667?download=1,France,Technology & Communications,Software & IT Services,2025-03-21,233,Forvis Mazars
Carlsberg,https://attachment.news.eu.nasdaq.com/aa5bd828cb018ada1539307f9ac6d8d70,Denmark,Food & Beverage,Alcoholic Beverages,2025-02-06,59,PwC
CD PROJEKT*,https://www.cdprojekt.com/en/wp-content/uploads-en/2025/03/management-board-report-on-cd-projekt-group-activities-in-2024.pdf#page=87,Poland,Technology & Communications,Software & IT Services,2025-03-25,58,Grant Thornton
Cellnex,https://informeanualintegrado.cellnex.com/files/2024/Informe_Anual_Integrado_2024_EN.pdf,Spain,Technology & Communications,Telecommunication Services,2025-02-26,305,Deloitte
CNP assurances*,https://www.cnp.fr/en/cnp/content/download/12774/file/CNP-Assurances-SA-and-subsidiaries-2024-URD.pdf,France,Financials,Insurance,2025-02-27,162,KPMG & Forvis Mazars
Coca Cola HBC,https://www.coca-colahellenic.com/content/dam/cch/us/documents/oar2024/cchbc-iar-2024.pdf.downloadasset.pdf,Switzerland,Food & Beverage,Non-Alcoholic Beverages,2025-03-14,132,PwC
Coface*,https://www.coface.com/content/download/77767/file/2025%2003%2004%20COFACE%20URD%202024%20UK%20Web.pdf,France,Financials,Insurance,2025-04-04,155,Deloitte
Commerzbank,https://investor-relations.commerzbank.com/media/document/b986ba5a-dc1d-41a7-a708-dc3a010ecc32/assets/Commerzbank_Group_Annual_Report_2024.pdf?disposition=inline,Germany,Financials,Commercial Banks,2025-03-26,255,KPMG
Continental*,https://annualreport.continental.com/2024/en/service/docs/annual-report-2024-data.pdf,Germany,Transportation,Auto Parts,2025-03-18,125,PwC
Copenhagen Airport,https://www.cph.dk/494193/globalassets/8.-om-cph/04_investor/arsrapporter/2024/copenhagen_airports_as_group_annual_report_2024.pdf,Denmark,Services,Professional & Commercial Services,2025-03-12,97,Deloitte
Covestro,https://annualreport.covestro.com/ecomaXL/files/Covestro_2024_GB_EN.pdf,Germany,Resource Transformation,Chemicals,2025-02-26,111,KPMG
Covivio*,https://files.webdisclosure.com/1325851/Covivio__2024_Universal_Registration_Document.pdf,France,Infrastructure,Real Estate,2025-04-04,231,EY
Crédit Agricole*,https://www.credit-agricole.com/en/pdfPreview/206105,France,Financials,Commercial Banks,2025-03-24,165,PwC & Forvis Mazars
Daimler Truck,https://www.daimlertruck.com/fileadmin/user_upload/documents/investors/reports/annual-reports/2024/daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-13,98,KPMG
Danica Pension,https://danicapension.dk/-/media/pdf/danica-pension/dk/regnskaber/2024/q4/danica-pension-annual-report-2024.pdf?rev=7fbec4cf06824493aa2e8613b151c9ff&hash=26CE370EE0B9B4BE01BF8D0F11DE9F23,Denmark,Financials,Insurance,2025-02-07,70,Deloitte
Danone,https://www.danone.com/content/dam/corp/global/danonecom/investors/en-all-publications/2025/registrationdocuments/danoneuniversalregistrationdocument2024.pdf,France,Food & Beverage,Processed Foods,2025-03-11,296,Forvis Mazars
Danske Bank,https://attachment.news.eu.nasdaq.com/afa0c01ae4c477af4f872314fa841db48,Denmark,Financials,Commercial Banks,2025-02-07,84,Deloitte
Dassault Systèmes,https://investor.3ds.com/static-files/f4610f80-970f-4a88-ab8e-0df492444765?_gl=1*vquc5h*_up*MQ..*_ga*MjA0MjE4MDg3MC4xNzQzMDY3OTQ2*_ga_DYJDKXYEZ4*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..*_ga_39DKQ0LYW1*MTc0MzA2Nzk0NS4xLjEuMTc0MzA2Nzk2Mi4wLjAuMA..,France,Technology & Communications,Software & IT Services,2025-03-27,165,PwC
Deceuninck*,https://www.deceuninck.com/wp-content/uploads/2025/03/Deceuninck_AR2024_Online_FULL-EN.pdf,Belgium,Consumer Goods,Building Products & Furnishings,2025-03-25,54,PwC
Demant,https://assets-we.cas.dgs.com/-/media/demant/shared/new-library-2022/financial-reports/annual-report-english/demant-annual-report-2024_2.pdf?la=en&rev=0487&hash=BF20FE17B1586ABE0B06D808F899EC67,Denmark,Health Care,Medical Equipment & Supplies,2025-02-05,66,PwC
Deutsche Bank,https://investor-relations.db.com/files/documents/annual-reports/2024/Annual-Report-2024.pdf?language_id=1,Germany,Financials,Investment Banking & Brokerage,2025-03-13,159,EY
Deutsche Börse,https://www.deutsche-boerse.com/resource/blob/4171106/7a5fad7ee1436604fd073bb0b73df2d0/data/DBG-annual-report-2024.pdf,Germany,Financials,Security & Commodity Exchange,2025-03-20,65,PwC
Deutsche Lufthansa*,https://investor-relations.lufthansagroup.com/fileadmin/downloads/en/financial-reports/annual-reports/LH-AR-2024-e.pdf,Germany,Transportation,Airlines,2025-03-06,134,EY
Deutsche Telekom,https://www.telekom.com/resource/blob/1085970/9e25d438580a5e3f39521fd94ed5e48c/dt-24-annual-report-data.pdf,Germany,Technology & Communications,Telecommunication Services,2025-02-26,85,Deloitte
DFDS,https://downloads.ctfassets.net/mivicpf5zews/7bSRWp5LwAcKV701igh7Da/7219e15a8807443823915c05b6691a24/DFDS_ANNUAL_REPORT_2024.pdf,Denmark,Transportation,Marine Transportation,2025-02-21,74,PwC
DHL,https://group.dhl.com/content/dam/deutschepostdhl/en/media-center/investors/documents/annual-reports/DHL-Group-2024-Annual-Report.pdf,Germany,Transportation,Air Freight & Logistics,2025-03-06,67,Deloitte
Dino Polska*,https://grupadino.pl/wp-content/uploads/2025/04/Dino-Polska-Management-Boards-Activity-Report-for-2024.pdf,Poland,Food & Beverage,Food Retailers & Distributors,2025-04-14,57,KPMG
DNB Bank*,https://www.ir.dnb.no/sites/default/files/pr/202503192798-2.pdf,Norway,Financials,Commercial Banks,2025-03-14,147,EY
DNV*,https://brandcentral.dnv.com/download/DownloadGateway.dll?h=BE1B38BB718539CC0AB58A5FF2EA7A83C162393C30B73CE3932AED14E5BA3C3F6A2AE5888D961BDF58312E163C46142E,Norway,Services,Professional & Commercial Services,2025-03-26,87,KPMG
DSB,https://www.dsb.dk/globalassets/arsrapport/2024/annual-report-2024.pdf,Denmark,Transportation,Rail Transportation,2025-02-07,106,EY
dsm-firmenich*,https://annualreport.dsm-firmenich.com/2024/_assets/downloads/entire-dsmfirmenich-iar24.pdf,Switzerland,Resource Transformation,Chemicals,2025-02-28,56,KPMG
DSV,https://investor.dsv.com/static-files/d34d3dfc-e1fe-4a25-a2c8-9d736830025a,Denmark,Transportation,Air Freight & Logistics,2025-02-04,43,PwC
DZ BANK*,https://annualreport.dzbank.com/sites/default/files/2025-03/DZBANK_Group_AR2024.pdf,Germany,Financials,Commercial Banks,2025-03-28,320,PwC
E.ON,https://www.eon.com/content/dam/eon/eon-com/eon-com-assets/documents/investor-relations/en/annual-report/GB24-gesamt-EN_final.pdf,Germany,Infrastructure,Electric Utilities & Power Generators,2025-02-26,54,KPMG
Edison,"https://www.edison.it/sites/default/files/documents/2024%20Financial%20Report_Volume1_Management,%20Sustainability%20and%20Governance_internet.pdf",Italy,Infrastructure,Electric Utilities & Power Generators,2025-02-28,160,KPMG
EDP - Energias de Portugal*,https://www.edp.com/sites/default/files/2025-03/Integrated%20Annual%20Report%202024%20-%20Unofficial%20Version%20-%20Unaudited.pdf,Portugal,Infrastructure,Electric Utilities & Power Generators,2025-03-14,279,PwC
EDP Renováveis*,https://www.edpr.com/sites/edpr/files/2025-02/EDPR_AnnualReport2024.pdf,Portugal,Infrastructure,Electric Utilities & Power Generators,2025-03-10,209,PwC
Elisa,https://static.elisa.com/v2/image/2tqybbhjs47b/1V94t8IZNr8wdpClnbdS02/Elisa_AnnualReport_2024.pdf,Finland,Technology & Communications,Telecommunication Services,2025-02-26,66,EY
ELO,https://groupe-elo.com/app/uploads/2025/02/RFA_ELO_2024_EN-1.pdf,France,Food & Beverage,Food Retailers & Distributors,2025-03-07,372,PwC & KPMG
Enagas*,https://www.enagas.es/content/dam/enagas/en/files/enagas-communication-room/publications/informe-anual/Annual-Report-2024-Enagas.pdf,Spain,Extractives & Mineral Processing,Oil & Gas – Midstream,2025-03-14,218,EY
EnBW Energie Baden-Wuerttemberg*,https://www.enbw.com/media/report/report-2024/downloads/enbw-annual-report-2024.pdf,Germany,Infrastructure,Electric Utilities & Power Generators,2025-03-24,116,BDO
Endesa,https://www.endesa.com/content/dam/enel-es/endesa-en/home/investors/financialinformation/annualreports/documents/2024/consolidated-annual-report-endesa-2024.pdf,Spain,Infrastructure,Electric Utilities & Power Generators,2025-02-25,265,KPMG
Engie*,https://www.engie.com/sites/default/files/assets/documents/2025-03/ENGIE_DEU_2024_US__PDF_MEL_v3.pdf,France,Infrastructure,Electric Utilities & Power Generators,2025-03-17,156,Deloitte & EY
Eni*,https://www.eni.com/content/dam/enicom/documents/eng/reports/2024/ar-2024/Annual-Report-2024.pdf,Italy,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-04-04,140,PwC
EPSO-G*,https://www.epsog.lt/uploads/documents/files/finansine-informacija/EPSO-G%20management%20report%202024.pdf,Lithuania,Infrastructure,Electric Utilities & Power Generators,2025-03-31,88,PwC
Equinor,https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,2025-03-20,103,EY
Erste Group Bank*,https://cdn0.erstegroup.com/content/dam/at/eh/www_erstegroup_com/en/Investor_Relations/onlinear2024/ar24reports/AR2024_FINAL_en.pdf?forceDownload=1,Austria,Financials,Commercial Banks,2025-02-28,212,PwC
EssilorLuxottica*,https://www.essilorluxottica.com/en/cap/content/247426/,France,Health Care,Medical Equipment & Supplies,2025-03-10,154,PwC
Etteplan*,https://mb.cision.com/Main/11766/4120224/3326232.pdf,Finnland,Resource Transformation,Industrial Machinery & Goods,2025-03-18,79,KPMG
Eurocash*,https://stecwwwprod001.blob.core.windows.net/public/2025-04-03/RaportRoczny2024EN.pdf,Poland,Food & Beverage,Food Retailers & Distributors,2025-04-03,127,Grant Thornton
European Energy,https://europeanenergy.com/wp-content/uploads/2025/02/annual-report-2024.pdf,Denmark,Renewable Resources & Alternative Energy,Wind Technology & Project Developers,2025-02-28,93,KPMG
Evonik,https://www.evonik.com/content/dam/evonik/documents/Evonik_Financial_and_Sustainability_Report_2024.pdf.coredownload.pdf?,Germany,Resource Transformation,Chemicals,2025-03-05,133,KPMG
Ferrari,https://cdn.ferrari.com/cms/network/media/pdf/Ferrari%20NV%20Annual%20Report%202024.pdf?_gl=1*1fffess*_ga*MTE3OTk5NDUyLjE3NDAzOTU5MTY.*_ga_JM1HT9B412*MTc0MDM5NTkxNi4xLjEuMTc0MDM5NjAyNy4wLjAuNjU4OTU2Njky,Italy,Transportation,Automobiles,2025-02-21,123,Deloitte
Ferrovial,https://static-iai.ferrovial.com/wp-content/uploads/sites/13/2025/02/28150113/ferrovial-integrated-annual-report-2024-1.pdf,Spain,Infrastructure,Engineering & Construction Services,2025-02-28,146,EY
Fingrid*,https://www.fingrid.fi/globalassets/dokumentit/en/annual-report/2024/fingrid_oyj_annual_report_2024.pdf,Finland,Infrastructure,Electric Utilities & Power Generators,2025-03-18,81,KPMG
FinnAir,https://investors.finnair.com/~/media/Files/F/Finnair-IR-V2/documents/en/reports-and-presentation/2024/finnair-financial-information-2024.pdf,Finland,Transportation,Airlines,2025-02-28,109,KPMG
Fiskars*,https://fiskarsgroup.com/wp-content/uploads/2025/02/FiskarsGroup_Annual_Report_2024.pdf,Finland,Consumer Goods,Appliance Manufacturing,2025-02-18,102,EY
FLSmidth,https://ml-eu.globenewswire.com/Resource/Download/c8fc5716-0f20-43f0-97da-6575ad0c76af,Denmark,Infrastructure,Engineering & Construction Services,2025-02-20,70,EY
FMO*,https://annualreport.fmo.nl/external/asset/download/project/f9a9530a-03ed-0000-7f0a-349612781de1/name/FMO%20Annual%20Report%202024_complete_LR.pdf,Netherlands,Financials,Investment Banking & Brokerage,2024-03-25,128,EY
Fnac Darty*,https://www.fnacdarty.com/wp-content/uploads/2025/03/fnac-darty-urd-2024-eng.pdf,France,Consumer Goods,Multiline and Specialty Retailers & Distributors,2025-03-10,138,KPMG & Deloitte
Fortum,https://www.fortum.com/files/fortum-financials-2024,Finland,Infrastructure,Electric Utilities & Power Generators,2025-02-17,74,Deloitte
freenet*,https://www.freenet.ag/binaries/_ts_1743061697640/content/assets/freenetgroup/pdf/ir-englisch/finanzberichte/2024/freenet-gb-2024-en-web.pdf,Germany,Technology & Communications,Telecommunication Services,2025-03-27,76,KPMG
Fresenius,https://www.fresenius.com/sites/default/files/2025-03/Fresenius_Annual_Report_2024.pdf,Germany,Health Care,Health Care Delivery,2025-03-26,154,PwC
Fresenius Medical,https://freseniusmedicalcare.com/content/dam/fresenius-medical-care/global/en/04_media/pdf/publications/2024/FME_Annual_Report_2024_EN.pdf,Germany,Health Care,Health Care Delivery,2025-03-13,103,PwC
Fugro,https://annualreport.fugro.com/wp-content/uploads/2025/03/Fugro-Annual-Report-2024.pdf,Netherlands,Extractives & Mineral Processing,Oil & Gas – Services,2025-03-07,63,EY
GBL Groupe Bruxelles Lambert*,https://www.gbl.com/en/media/4197/GBL_RA2024_ESG_EN.pdf,Belgium,Financials,Asset Management & Custody Activities,2025-04-09,614,PwC
GEA,https://cdn.gea.com/-/media/investors/annual-report/2024/annual-report-2024-en.pdf?rev=d32047c550ae45919338a9b4b2a2f1b7,Germany,Resource Transformation,Industrial Machinery & Goods,2025-03-11,172,PwC
Genmab,https://attachment.news.eu.nasdaq.com/aea8fb1fc8552902fb0e68d02f3c1b189,Denmark,Health Care,Biotechnology & Pharmaceuticals,2025-02-12,57,Deloitte
Gjensidige Forsikring*,https://mb.cision.com/Public/1122/4106048/b2a2ba6ef26c7a42.pdf,Norway,Financials,Insurance,2025-02-14,112,Deloitte
Glenveagh Properties*,https://glenveagh.ie/download/2024-AR-interactive-pdf,Ireland,Infrastructure,Home Builders,2025-04-10,71,KPMG
GN Store Nord,https://www.gn.com/-/media/Files/Document-Download-Center/Corporate-governance/AR2024/GN-Annual-Report-2024.pdf,Denmark,Health Care,Medical Equipment & Supplies,2025-02-06,65,PwC
Grifols,https://www.cnmv.es/webservices/verdocumento/ver?e=qg%2bwsFsrxPu9L7bgiPACziJs3cK80xVpwaYndxidzOuEhY8wWp9yOrsFup0pipEp,Spain,Health Care,Biotechnology & Pharmaceuticals,2025-02-25,235,Deloitte
Groupe BPCE*,https://www.groupebpce.com/app/uploads/2025/03/bpce-urd-2024.pdf,France,Financials,Commercial Banks,2025-03-28,347,PwC & Forvis Mazars
Grupa Pracuj*,https://grupapracuj.pl/file/d9e1682f-2096-41fc-a378-b7051eec0c20,Poland,Services,Professional & Commercial Services,2025-03-27,88,EY
Hapag Lloyd,https://www.hapag-lloyd.com/content/dam/website/downloads/ir/HLAG_FY_2024_EN.pdf,Germany,Transportation,Marine Transportation,2025-03-07,175,KPMG
Heineken,https://www.theheinekencompany.com/sites/heineken-corp/files/2025-02/heineken_n_v_annual_report_2024_final_20feb2025.pdf,Netherlands,Food & Beverage,Alcoholic Beverages,2025-02-20,148,Deloitte
Helvetia,https://www.helvetia.com/content/dam/os/corporate/web/documents/investor-relations/annual-results/2024/annual-report-2024.pdf,Switzerland,Financials,Insurance,2025-03-06,185,KPMG
Hensoldt*,https://annualreport.hensoldt.net/resource/PDF/HENSOLDT_AG_Annual_Report_2024.pdf,Germany,Technology & Communications,Semiconductors,2025-03-27,59,KPMG
Hermes*,https://assets-finance.hermes.com/s3fs-public/node/pdf_file/2025-03/1743171341/250328_hermes_urd2024_en.pdf?VersionId=ZZZMxGiUT7xHs0CZUKn6vrm0L1EvqtfS,France,Consumer Goods,"Apparel, Accessories & Footwear",2025-03-27,175,PwC
HKFoods*,https://www.hkfoods.com/globalassets/hkscan.com/3-investors---sijoittajat/vuosikatsaus-2024/02b_hkfoods_bodreport_financialstatements24_en_final.pdf ,Finland,Food & Beverage,"Meat, Poultry & Dairy",2025-02-28,88,EY
Hochtief*,https://www.hochtief.de/mmdbdownload?id=244795,Germany,Infrastructure,Engineering & Construction Services,2025-02-19,235,Deloitte
Hrvatski Telekom*,https://static.hrvatskitelekom.hr/webresources/tht/pdf/investitori/izvjesca/ANNUAL_REPORT_ENG_2024.pdf,Croatia,Technology & Communications,Telecommunication Services,2025-04-02,51,Deloitte
