company,link,country,sector,industry,pages,auditor,type,text,tot_credits,removal,reduction,standard,eu,ca,ccs,notes
Acea,https://www.gruppoacea.it/content/dam/acea-corporate/acea-foundation/pdf/en/company/investors/2025/reports/2024-consolidated-financial-statements.pdf,Italy,Infrastructure,Electric Utilities & Power Generators,108,PwC,1,"Acea's commitment to combating climate change is also realised
by participating in voluntary offsetting projects, specifically by purchasing certified carbon credits to offset the amount of methane
gas sold on the market.
The carbon credits purchased for 2024 contributed to funding mitigation projects in Cambodia and Vietnam with tangible
benefits for the local communities, totalling EUR 407 thousand
credits:
• Southern Cardamom REDD+ in Cambodia will protect a key
area in the Cardamom Mountains rainforest ecosystem, one of
the 200 most important places for biodiversity conservation on
the planet; the project will support around 30 villages by providing new and sustainable livelihood opportunities for more than
17,000 people, with additional activities related to food security,
health education and environmental awareness.
• Dak Psi 3 and 4 Hydropower Project in Vietnam, construction
and operation of a run-of-river hydroelectric project with total
installed capacity of 45 MW from two waterfalls in one of the
poorest areas of Vietnam. The project will impact positively on
the environment and local communities and will help reduce Vietnam's dependence on electricity imports.
The total amount of carbon credits verified, recognised and cancelled by the two projects are as follows:
• Southern Cardamom REDD+ - Cambodia - 10,000 credits;
• Dak Psi 3 and 4 Hydropower Project - Vietnam - 397,000 credits.
In summary, credits amounting to 407,000 tCO2eq were cancelled
during the year, through certified reduction Verified Carbon Standard (VCS) projects and developed outside the European Union. No
Absorption project was used, and no information is currently available
on any credits that are expected to be cancelled in the future.","407,000",0,100,VCS,0,0,,
Acerinox,https://www.acerinox.com/export/sites/acerinox/es/accionistas-e-inversores/informacion-economica-financiera/informe-anual-integrado/.galleries/Informacion-Anual/2024-Acerinox-Group-Consolidated-Management-Report.pdf,Spain,Extractives & Mineral Processing,Iron & Steel Producers,128,PwC,3WIP,"The Acerinox Group did not develop any GHG removals and
GHG mitigation projects financed through carbon credits.
The Company is exploring the possibility of CO2 capture,
storage, and use projects. Currently, some projects are in a
preliminary phase. For example, a implementation
feasibility study has been conducted at one of the factories.
On the other hand, Company has not contributed to
greenhouse gas sequestration projects upstream and
downstream in our value chain. ",0,,,,,,,
Achmea Holding,https://www.achmea.nl/-/media/achmea/documenten/investors/publicaties-2024/eng-financial-statements-achmea-bv-2024.pdf,Netherlands,Financials,Insurance,164,EY,3,,0,,,,,,,
Acomo Group,https://www.acomo.nl/wp-content/uploads/2025/03/Annual-Report-2024-Interactive.pdf,Netherlands,Food & Beverage,Processed Foods,56,EY,3,"Acomo did not engage in GHG removals and GHG
mitigation projects financed through carbon credits during
the reporting year.",0,,,,,,,
Addiko Bank,https://www.addiko.com/static/uploads/Addiko-Group-Consolidated-Financial-Report-2024-EN-1.pdf,Austria,Financials,Commercial Banks,139,KPMG,3,,0,,,,,,,
adidas,https://report.adidas-group.com/2024/en/_assets/downloads/annual-report-adidas-ar24.pdf,Germany,Consumer Goods,"Apparel, Accessories & Footwear",218,PwC,3WIP,"adidas has no GHG removal or storage initiatives in place and does not plan to implement any in the midterm future. In addition, adidas does neither purchase nor plan to purchase carbon credits in the
foreseeable future to support its climate strategy and to account for in its GHG emission calculation.
Our climate strategy details our actions and targets to reduce future GHG emissions, which are aligned
with the 1.5°C pathway and contribute to a net-zero future. As per the SBTi guideline, we will only consider
the purchase and cancellation of carbon credits in the long term to remove and/or mitigate any potential
residual GHG emissions for which reduction actions are not viable (with a maximum of 10%).",0,,,,,,,
Adler Group (ex. ADO Properties),https://www.adler-group.com/fileadmin/web/docs/IR/Publikationen/2024/ag_Q4-2024_en_single.pdf,Luxembourg,Infrastructure,Real Estate,20,Rödl & Partner GmbH,3,,0,,,,,,,
Aegon,https://www.aegon.com/system/files/file/2025-03/aegon-integrated-annual-report-2024.pdf,Netherlands,Financials,Insurance,109,EY,3,,0,,,,,,,
Aena,https://www.aena.es/sites/Satellite?blobcol=urldata&blobkey=id&blobtable=MungoBlobs&blobwhere=1576870867684&ssbinary=true,Spain,Transportation,Air Freight & Logistics,303,KPMG,3,The Aena Group does not carry out GHG removals or GHG mitigation projects financed through carbon credits.,0,,,,,,,
Aeroports de Paris,https://www.parisaeroport.fr/docs/default-source/groupe-fichiers/finance/information-r%C3%A9glement%C3%A9e-amf/documents-de-r%C3%A9f%C3%A9rence/2025/universal-registration-document-2024.pdf?sfvrsn=5d6ea7bd_2,France,Services,Professional & Commercial Services,313,Deloitte & EY,3WIP,"Groupe  ADP voluntarily offsets its emissions by purchasing
carbon credits and financing projects outside its value chain.
In particular, these compensation measures meet the
requirements of ACA levels 3+ and 4+ of the Airport Carbon
Accreditation scheme, which some of the Group's controlled
airports hold. These levels involve offsetting the residual
emissions from Scopes 1 and 2, as well as emissions linked to
employee business travel (Scope 3 Category 6). A number of Groupe ADP airports currently hold level 3+ or
4+ accreditation:
u Level 3+: TAV Airports' Ankara-Esenboğa and Izmir-Adnan
Menderes Airports have both been level 3+, since 2014 and
2016 respectively;
u Level 4+: Amman Airport reached level 4+ in 2022. ParisOrly Airport aims to achieve ACA 4+ status by 2025, and
will therefore be offsetting its residual Scopes  1 and  2
emissions as well as emissions linked to business travel by
Orly employees.
Moreover, hubs in the Paris region have been offsetting their
emissions linked to employee business travel since 2019.
In 2023, Groupe ADP will have offset a total of 16,264 tonnes
of CO2 through the purchase of carbon credits and plans to
cancel a further 14,986  tonnes. For 2024 emissions,
Groupe ADP has not yet purchased or cancelled any carbon
credits outside its value chain. The Group plans to purchase
and cancel at least 14,475 tonnes of CO2. The current minimum quantity of carbon credits used to
offset emissions in the reporting year, which will be
purchased and cancelled in the future, is currently 14,475  tonnes of CO2 (offsetting emissions from Amman
Airport). The quantities of carbon credits needed to offset
emissions from the Izmir-Adnan Menderes and AnkaraEsenboğa hubs, as well as business travel by employees at
Paris airports, will be consolidated in March 2025.
Groupe  ADP has a service provision contract that secures
the purchase of carbon credits until 2030 for its hubs in the
Paris region, enabling it to offset emissions from its sites.
This includes the possibility of meeting the offsetting
requirements of the ACA 4+ for Paris-Orly, a level that this
hub is aiming to achieve by 2025, by offsetting its internal
emissions as well as those linked to its employees' business
travel. When drawing up its GHG assessments, Groupe ADP ensures
that the use of carbon credits is clearly distinct from GHG
emissions and the associated reduction targets. These
carbon credits are used as a complement to direct emission
reduction actions, and their use in no way replaces the
efforts made to reduce internal emissions. Groupe  ADP
discloses the volume and quality of credits purchased (see
table below). Groupe  ADP offsets its emissions by purchasing carbon
credits and investing in projects outside its value chain.
These offsets enable us to meet the requirements of Airport
Carbon Accreditation levels 3+ and 4+, which some of the
Group's airports hold. These levels involve offsetting the
residual emissions from Scopes 1 and 2, as well as emissions
linked to employee business travel (Scope 3 Category 6).
A number of financially controlled airports in the ADP
network are currently accredited to level 3+ or 4+:
u lLevel  3+: Ankara-Esenboga and Izmir-Adnan Menderes
airports have both been level  3+ since 2014 and 2016
respectively;
u level  4+: Amman Airport reached level  4+ in 2022. ParisOrly Airport aims to achieve ACA 4+ status by 2025, and
will therefore be offsetting its residual Scopes  1 and  2
emissions as well as emissions linked to business travel by
Orly employees.
The Paris hubs have also been offsetting their emissions
linked to employee business travel since 2019.
Carbon offset projects include initiatives certified by:
u the Verified Carbon Standard;
u the Clean Development Mechanism;
u the Gold Standard. Groupe  ADP has net-zero decarbonisation targets for the
Paris airports certified by SBTi.
In order to achieve the SBTi net-zero target (see DP
E1-4-32), the Group has validated the principle of a strategy
of investing in carbon capturing projects (as required to
achieve Net-Zero) in order to neutralise residual emissions
by the time we reach our net-zero target. The strategy is
currently being implemented. Investing now allows us to
secure the availability of the necessary volumes of carbon
offsets and to have the flexibility to demand very high
quality standards for these projects. Each Groupe  ADP airport that achieves Airport Carbon
Accreditation levels 3+ or 4+ offsets its residual greenhouse
gas emissions by purchasing certified carbon credits. This
offsetting allows these airports to maintain their ACA+
certification, which is public proof of their commitment.
Through its independent certification process, the ACA
assesses and verifies the carbon management efforts of
airports, including their commitment to offset their residual
emissions annually via its administrator. By reaching or
maintaining these levels, each airport makes a public
commitment to offset its emissions in accordance with the
programme's requirements.
To reinforce this commitment, airports declare their progress
in offsetting in their annual sustainability reports and
communicate their compliance with ACA requirements
through third-party audits every two or three  years. This
ensures total transparency in the use of carbon credits to
achieve the defined climate objectives. For ACA+ levels, airports commit to offsetting their residual
emissions while continuing efforts to directly reduce their
internal emissions (Scopes 1 and 2). These efforts are aligned
with the requirements of ACA certification, which imposes
absolute reduction targets compatible with the IPCC's 1.5°C
net-zero or 2.0°C trajectories. The claims of GHG neutrality made by Groupe ADP airports
and their use of carbon credits neither hinder nor
compromise the achievement of GHG emission reduction
targets. Groupe  ADP considers carbon credits to be a
complementary tool, used solely to offset residual emissions
after all possible direct reduction efforts have been
implemented.",0,,,,,0,"In 2024, the Group entered into a partnership with the
Fondation de l'Université Paris-Saclay to set up a research
chair specialising in carbon capture technologies applied to
airports, with a view to direct experimentation at the ParisOrly hub. This chair will work on both natural storage (such
as carbon sinks) and technological storage (such as carbon
capture and storage (CCS)).",
Ageas,https://downloads.ctfassets.net/o6mf177wvfka/4OJL4qi7qFnIz79qdI5NAL/67a7ffd56d06a71fc12251dcb3fa369c/Ageas-AR-ENG-24.pdf,Belgium,Financials,Insurance,114,PwC,0,"In 2024, Ageas maintained its carbon-neutral status25 for the third time,
covering scope 1, scope 2, and certain categories of scope 3 emissions.
Ageas supported various carbon credit projects certified by international
standards like the Gold Standard and the Verified Carbon Standard. The
company backed renewable energy projects in Vietnam contributing to
GHG emissions reduction and environmental sustainability. Its efforts are
complemented by entities supporting similar projects, for example a tropical
rainforest conservation project in Brazil, an afforestation scheme in Ghana
and the production of hemp concrete block in Belgium. ","42,065",3,97,"Gold Standard, VCS",5,0,,
AGFA-Gevaert,https://www.agfa.com/corporate/wp-content/uploads/sites/2/2025/04/Agfa-Annual-Report-2024_online.pdf,Belgium,Resource Transformation,Industrial Machinery & Goods,85,PwC,3,,0,,,,,,,
AIB,https://aib.ie/content/dam/frontdoor/investorrelations/docs/resultscentre/annualreport/2024/aib-group-plc-afr-report-2024.pdf,Ireland,Financials,Commercial Banks,78,PwC,3,,0,,,,,,,
Air France-KLM,https://www.airfranceklm.com/sites/default/files/2025-04/2024_urd-ven_04032025.pdf,France,Transportation,Airlines,170,KPMG & PwC,4,"Under Article 147 of the Climate and Resilience Act,
Air France-KLM is required to offset the greenhouse gas
emissions of its domestic metropolitan flights. This
mandatory offsetting mechanism applies to domestic
emissions emitted since January 1, 2022 and its scope has
gradually increased from 50% of domestic emissions in
2022 to 70% in 2023 and 100% in 2024.
In 2023, in order to cover the mandatory offset of
518 thousand tons of CO₂ emissions, a portfolio of projects
was audited and communicated to the French
authorities, with 35% of the CO2
 compensation from
projects located in the EU. This process was verified by
third-party auditor Verifavia before restitution to the
French Authority DGAC.
In 2024, the emissions to be covered should be around
700 thousand tons of CO₂, of which 50% will need to be
addressed with European-based projects and the
remaining 50% with international projects. Europeanbased projects are substantially more expensive than
international projects. French projects are based on the
French Label Bas Carbone methodology developed by
the French government.
Air France chose Oklima, a subsidiary of EDF which is
known for its expertise in decarbonization strategy, to
select the various projects which must comply with the
principles of carbon offsetting (measurable, verifiable,
permanent and additional). 100% of the Group projects
met recognized quality standards. Together with Oklima,
Air France is building a comprehensive portfolio to
comply with the 2024 period.
In 2023, Air France selected the Greenfield Solar Power
Mission project by Fortum India (VERRA VCS 2069) as its
international project. The main purpose of this project is
to generate clean electricity through renewable solar
energy sources. The project involves the installation of a
250 MW solar power plant in Rajasthan, India. The project
is directly contributing to India's effort to develop access
to renewable energy, improving the lives and living
conditions of people while also creating jobs and
opportunities for education.
Among the airlines operating in France and subject to the
Climate and Resilience Law mechanism, Air France was
one of the rare companies to diversify its available projects
with a significant share of agricultural projects in addition
to forestry projects. In 2023, 23 out of the 67 projects
financed by Air France Group benefited from the
“biodiversity bonus” granted by the French
administration.
Air France is currently working with key partners to
investigate how the company can finance projects that
fall within its value chain in the short term: for instance
financing agricultural projects that are already integrated
in the catering sources of its suppliers.
Air France-KLM takes purchase agreements for future
delivery of credits and cancels the credits once used for
international projects in accordance with Article 147 in
France. The Group has not yet purchased carbon credits
for its future CORSIA compliance.
Total amount of carbon credits outside Air France-KLM’s value chain
The carbon credits reported are the ones acquired to compensate emissions from previous reporting periods that are
cancelled in the reporting year.
Mandatory and voluntary carbon credits purchased by Air France-KLM are included, such as the compensations
brought by the Air France Group to cover its domestic emissions (pursuant to Article 147 of the French Climate and
Resilience Law), while the carbon emission allowances received or brought by the Air France-KLM Group through its
airlines under ETS programs (mainly EU-ETS) are not included.","380,000",Not specified,Not specified,"VCS, Label Bas Carbone",50,0,,
Air Liquide,https://www.airliquide.com/sites/airliquide.com/files/2025-03/air-liquide-2024-universal-registration-document.pdf,France,Resource Transformation,Chemicals,104,PwC & KPMG,3WIP,"To date, the Group has not
mobilised carbon credits for the steering of its CO2 trajectory. For Air Liquide, offsetting should not replace emission reductions
in situations where they are possible, but only cover nonreducible residual reductions, in particular via “negative
emissions” (“removals”), the quality of which must be guaranteed
by recognized standards.
The Group aims to provide decarbonization solutions to its
customers based on an outsourced business model. Given the
existing accounting methodologies, in the context of projects
leading to massive emission reductions for the Group’s customers,
in particular, and for the planet in general, the residual emissions
resulting from these decarbonization projects are recognized in
Air Liquide’s carbon footprint. The Group anticipates that these
residual emissions will ultimately be offset by appropriate
instruments, while retaining a strategy based on a compatible
reduction trajectory. When the procedures for recognizing the use
of different types of offsetting instruments in the carbon accounting
standards and defining “Net Zero” objectives are clarified, their
role in the climate strategy will be specified.",0,,,,,,,
Airbus,https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf,France,Resource Transformation,Aerospace & Defence,109,EY,0,"Both naturebased and technology-based removals, from climate change mitigation
projects outside the Company supply chain, are considered and should be
purchased in 2025, following the conclusions of the IPCC (e.g. Special
Report on 1.5°C and Assessment Report 6).The Company intends to work
in partnership with carbon sequestration companies to generate
additional technology-based carbon removals. So far, the Company has
used carbon credits only, and no removal nor storage resulting from
projects developed in own operations or value chain are reported. In 2024,
the Company evolved its related contractual framework. This new
framework is to be used from 2025, including to compensate for 2024
residual emissions as per Company commitment. ","130,560",0.45,99.55,"Gold Standard, VCS, CCB",0.45,0,,
AIXTRON,https://www.aixtron.com/investoren/publikationen/2024/en/Annual%20Report%202024.pdf,Germany,Technology & Communications,Semiconductors,87,KPMG,3,"In	addition	to	technical	measures	for	emission	reduction,	such	as	the	installation	of	heat	
pumps	and	the	switch	to	LED	lighting,	the	gross	CO2	footprint	will	be	reduced	to	net	zero	
at	 all	 sites	 in	 2024,	 as	 it	 was	 in	 2023,	 through	 green	 electricity	 certificates.	 To	 further	
minimize	 the	ecological	 footprint	 from	other	emission	areas,	unavoidable	emissions	are	
offset	by	supporting	a	certified	emission	reduction	project. Projects	for	the	storage	of	greenhouse	gases	or	the	direct	extraction	of	greenhouse	gases	
have	not	yet	been	carried	out.
Two	 different	market-based	instruments	were	 used	 for	 the	gross-to-net	 CO2	 reduction:	
On	 the	 one	 hand,	 green	 electricity	 certificates	 for	 each	 AIXTRON	 site	 according	 to	 the	
standards	GoO/REGO/IREC/US-REC,	and	on	the	other	hand,	an	emission	reduction	project	
in	India	according	to	the	Verified	Carbon	Standard	(VCS)	to	offset	unavoidable	emissions	
in	Scopes	1	and	2	as	well	as	parts	of	Scope	3	(ESRS	E1-7	56-61).	",0,,,,,,,"They use energy certificates, not carbon credits"
Aker BP,https://akerbp.com/wp-content/uploads/2025/04/annual-report-2024.pdf,Norway,Extractives & Mineral Processing,Oil & Gas – Exploration & Production,107,PwC,3WIP,"Our first and foremost priority within our approach
to decarbonisation is to avoid and reduce scope 1
and 2 GHG emissions from our own operations.
However, we further intend to invest in carbon
removal projects equal to our remaining equity
share scope 1 and 2 GHG emissions from 2030
onwards. This means that for each tonne of scope
1 and 2 GHG emissions from our own operations
we aim to sequester the same amount of CO2
using high-quality CDR projects. This commitment
is voluntary and costs related to the purchase
of CDR credits come in addition to mandatory
acquisition of European ETS quotas and payment
of Norwegian CO2 taxes. As such, our plan to
secure high quality CDR credits means that
we voluntarily assign a higher internal cost for
each tonne of equity share scope 1 and 2 GHG
emissions that we emit from 2030. This has a
positive impact on the business cases for emission
reduction initiatives.
Aker BP has invested in three CDR projects on
three continents, all based on reforestation and
developed under Verra registry’s Verified Carbon
Standard (VCS). The projects are designed to
capture carbon through natural processes, in
addition to having positive effects on biodiversity
and for local communities.
We aim to only invest in carbon removal projects
that are certified under high integrity standards,
have strong additionality, robust measures in place
to maintain permanence, are validated and verified
by independent and reliable auditors, cause no
harm and have a high sustainability impact. To
begin with, we have invested in nature-based
removal projects, and we aim to continuously
evaluate adding technology-based projects to our
portfolio.
While no credits were retired in 2024, we intend
to neutralise around 4 million tonnes of CO2e
between 2030 and 2050. The number presented
in figure 23 is a projection of our equity share
emissions from 2030 to 2050, and is not validated
by a third party other than the assurance provider.
The exact amount required will depend on our
future emissions. figure 24 gives an overview of
our anticipated credit needs per year leading up to
2050, forecasted emissions to offset and current
estimations on coverage in term of offsets. Further
information about approach to management of
our carbon dioxide removal portfolio can be found
in our climate and energy policy. ",0,,,,,,,
Aker Solutions,https://www.akersolutions.com/globalassets/investors/agm/2025/akso---annual-report-2024.pdf,Norway,Extractives & Mineral Processing,Oil & Gas – Services,89,PwC,3,,0,,,,,,,
Aktia Bank,https://www.aktia.com/sites/aktia-corp/files/investors/Aktia%27s%20year%202024/Aktia%20Bank%20Plc%20Financial%20Review%202024.pdf,Finland,Financials,Commercial Banks,67,KPMG,3,,0,,,,,,,
Akzo Nobel,https://www.akzonobel.com/content/dam/akzonobel-corporate/global/en/investor-relations-images/result-center/archive-annual-reports/2029-2020/AkzoNobel-annual-report-2024.pdf,Netherlands,Resource Transformation,Chemicals,62,PwC,3,,0,,,,,,,
Alandsbanken,https://www.alandsbanken.fi/uploads/pdf/result/arsredovisn2024en.pdf,Finland,Financials,Commercial Banks,119,KPMG,3,,0,,,,,,,
Alfen,https://alfen.com/nl/media/2013/download?attachment,Netherlands,Resource Transformation,Electrical & Electronic Equipment,34,PwC,3,,0,,,,,,,
ALK,https://ir.alk.net/static-files/b6b65921-c84e-45c4-8b5a-e6f91bc00cbd,Denmark,Health Care,Biotechnology & Pharmaceuticals,70,PwC,3,,0,,,,,,,
Allegro,https://about.allegro.eu/static-files/2d1a10ad-ea02-409b-99db-556b96234d06,Luxembourg,Consumer Goods,E-Commerce,68,PwC,3,,0,,,,,,,
Alliander,https://annualreport.alliander.com/external/asset/download/project/f944830a-03fd-0000-1d58-bb5f7bb302a1/name/Alliander_Annual_Report_2024.pdf,Netherlands,Infrastructure,Electric Utilities & Power Generators,90,PwC,4,"Alliander greens all other emissions, such as gas network losses, commuting and business travel in scope 3
with Gold Standard Carbon Credits. The relationship between GOs and Gold Standards in 2024 was 61%
Guarantees of Origin and 39% Gold Standard certificates. A total of 446 carbon credits were used in 2024.
Alliander does not take part in external projects aimed at carbon storage or removal and does not acquire
carbon credits that originate from them. Alliander has not entered into any long-term contractual commitments
to obtain Gold Standard certificates.
Alliander is planning a switch to the SBTi framework, under which Gold Standard certificates are not
permitted. This means in particular that we will no longer be able to offset our methane emissions (gas leaks)
and will have to invest more in cutting those emissions. We have made a conscious decision to progressively
green our procurement for network losses with electricity from investments in renewable sources.   
The Gold Standard is a quality mark for carbon credits developed by the World Wide Fund for Nature. Issued
certificates must not be more than five years old. Alliander uses carbon offset certificates outside the value
chain. Alliander has no information on the extent to which corresponding adjustments qualify with respect to
Article 6 of the Paris Climate Agreement. ",446,Not specified,Not specified,Gold Standard,0,0,,
Allianz,https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2024/en-allianz-group-annual-report-2024.pdf,Germany,Financials,Insurance,133,PwC,3,"Not relevant
(no GHG
removals or
carbon credits
currently in
place)",0,,,,,,,
Alm Brand,https://s29.q4cdn.com/228553818/files/doc_news/agm/2025/Annual-Report-2024-Alm-Brand-AS.pdf,Denmark,Financials,Insurance,72,EY,3,,0,,,,,,,
Altareit,https://www.altareit.com/wp-content/uploads/2025/04/Altareit-URD-2024.pdf,France,Infrastructure,Real Estate,167,Forvis Mazars & EY,3,,0,,,,,,,
Altri SGPS,https://www.cmvm.pt/PInstitucional/PdfVierInfPriv?Input=608D67E5442AC81836E5C9B31CAE7942F341CBDCA4DF224EF356EF9BFCB5C3DB,Portugal,Renewable Resources & Alternative Energy,Pulp & Paper Products,139,EY,3,,0,,,,,,,
Amadeus Fire,https://group.amadeus-fire.de/wp-content/uploads/2025/04/Geschaeftsbericht-2024_EN-1.pdf,Germany ,Services,Professional & Commercial Services,88,PwC,3,,0,,,,,,,
